ID_Word	ID_Lemma	Lemma
37029	71638	a+el
37039	71648	alto
37028	71637	
37030	71639	cliente
37038	71647	costo
37012	71621	de
37025	71634	de
37036	71645	de+el
37010	71619	el
37034	71643	el
37009	71618	en
37015	71624	en
37037	71646	hotel
37014	71623	
37016	71625	internet
37026	71635	
37027	71636	el
37013	71622	el
37011	71620	manejar
37017	71626	
37021	71630	para
37033	71642	para
37022	71631	persona
37023	71632	que
37032	71641	ruta
37020	71629	servicio
37035	71644	
37024	71633	sufrir
37031	71640	
37019	71628	trasporte
37018	71627	uno
